date,data,label
2018-03-05,1.478,"[1,0]"
2018-03-02,1.48,"[0,1]"
2018-03-01,1.465,"[1,0]"
2018-02-28,1.473,"[0,1]"
2018-02-27,1.479,"[0,1]"
2018-02-26,1.52,"[0,1]"
2018-02-23,1.541,"[0,1]"
2018-02-22,1.503,"[1,0]"
2018-02-14,1.482,"[1,0]"
2018-02-13,1.415,"[1,0]"
2018-02-12,1.372,"[1,0]"
2018-02-09,1.349,"[1,0]"
2018-02-08,1.329,"[1,0]"
2018-02-07,1.378,"[0,1]"
2018-02-06,1.4,"[0,1]"
2018-02-05,1.407,"[0,1]"
2018-02-02,1.444,"[0,1]"
2018-02-01,1.485,"[0,1]"
2018-01-31,1.519,"[0,1]"
2018-01-30,1.511,"[1,0]"
2018-01-29,1.545,"[0,1]"
2018-01-26,1.572,"[0,1]"
2018-01-25,1.541,"[1,0]"
2018-01-24,1.532,"[1,0]"
2018-01-23,1.529,"[1,0]"
2018-01-22,1.516,"[1,0]"
2018-01-19,1.515,"[1,0]"
2018-01-18,1.512,"[1,0]"
2018-01-17,1.51,"[1,0]"
2018-01-16,1.495,"[1,0]"
2018-01-15,1.492,"[1,0]"
2018-01-12,1.509,"[0,1]"
2018-01-11,1.503,"[1,0]"
2018-01-10,1.504,"[0,1]"
2018-01-09,1.512,"[0,1]"
2018-01-08,1.506,"[1,0]"
2018-01-05,1.489,"[1,0]"
2018-01-04,1.467,"[1,0]"
2018-01-03,1.451,"[1,0]"
2018-01-02,1.448,"[1,0]"
2017-12-31,1.394,"[1,0]"
2017-12-29,1.394,"[0,1]"
2017-12-28,1.396,"[0,1]"
2017-12-27,1.401,"[0,1]"
2017-12-26,1.397,"[1,0]"
2017-12-25,1.41,"[0,1]"
2017-12-22,1.413,"[0,1]"
2017-12-21,1.412,"[1,0]"
2017-12-20,1.405,"[1,0]"
2017-12-19,1.406,"[0,1]"
2017-12-18,1.408,"[0,1]"
2017-12-15,1.37,"[1,0]"
2017-12-14,1.365,"[1,0]"
2017-12-13,1.378,"[0,1]"
2017-12-12,1.354,"[1,0]"
2017-12-11,1.379,"[0,1]"
2017-12-08,1.35,"[1,0]"
2017-12-07,1.343,"[1,0]"
2017-12-06,1.329,"[1,0]"
2017-12-05,1.334,"[0,1]"
2017-12-04,1.34,"[0,1]"
2017-12-01,1.351,"[0,1]"
2017-11-30,1.372,"[0,1]"
2017-11-29,1.383,"[0,1]"
2017-11-28,1.42,"[0,1]"
2017-11-27,1.43,"[0,1]"
2017-11-24,1.456,"[0,1]"
2017-11-23,1.469,"[0,1]"
2017-11-22,1.48,"[0,1]"
2017-11-21,1.477,"[1,0]"
2017-11-20,1.464,"[1,0]"
2017-11-17,1.455,"[1,0]"
2017-11-16,1.445,"[1,0]"
2017-11-15,1.42,"[1,0]"
2017-11-14,1.413,"[1,0]"
2017-11-13,1.43,"[0,1]"
2017-11-10,1.415,"[1,0]"
2017-11-09,1.431,"[0,1]"
2017-11-08,1.434,"[0,1]"
2017-11-07,1.425,"[1,0]"
2017-11-06,1.418,"[1,0]"
2017-11-03,1.389,"[1,0]"
2017-11-02,1.379,"[1,0]"
2017-11-01,1.386,"[0,1]"
2017-10-31,1.375,"[1,0]"
2017-10-30,1.357,"[1,0]"
2017-10-27,1.358,"[0,1]"
2017-10-26,1.358,"[1,0]"
2017-10-25,1.383,"[0,1]"
2017-10-24,1.405,"[0,1]"
2017-10-23,1.409,"[0,1]"
2017-10-20,1.415,"[0,1]"
2017-10-19,1.415,"[1,0]"
